SETOR ECONoMICO;SUBSETOR;SEGMENTO;SEGMENTO;codigo;tipo;papel 
Utilidade Publica;Energia Eletrica;Energia Eletrica;ELETROPAR   ;LIPR;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ELETROPAULO ;ELPL;NM             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;EMa        ;EMa;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERGIAS BR ;ENBR;NM             ;ENBR3
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERGISA    ;ENGI;N2             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERGISA MT;ENMT;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERSUL     ;ENER;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENEVA;ENEV;NM             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENGIE BRASIL;EGIE;NM             ;EGIE3
Utilidade Publica;Energia Eletrica;Energia Eletrica;EQUATORIAL  ;EQTL;NM             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ESCELSA     ;ESCE;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;FGENERGIA;FGEN;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;GER PARANAP ;GEPA;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ITAPEBI     ;ITPB;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;LIGHT       ;LIGH;;NA
Utilidade Publica;Energia Eletrica;Energia Eletrica;LIGHT S/A   ;LIGT;NM             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;NEOENERGIA  ;NEOE;NM             ;NEOE3
Utilidade Publica;Energia Eletrica;Energia Eletrica;OMEGA GER;OMGE;NM             ;OMGE3
Utilidade Publica;Energia Eletrica;Energia Eletrica;PAUL F LUZ  ;PALF;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;PROMAN      ;PRMN;MB             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;REDE ENERGIA;REDE;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;RENOVA      ;RNEW;N2             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;STATKRAFT;STKF;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;STO ANTONIO;STEN;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;TaSA       ;TaE;N2             ;
Utilidade Publica;Energia Eletrica;Energia Eletrica;TERMOPE     ;TMPE;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;TERM. PE III;TEPE;;
Utilidade Publica;Energia Eletrica;Energia Eletrica;TRAN PAULIST;TRPL;N1             ;TRPL4
Utilidade Publica;Energia Eletrica;Energia Eletrica;UPTICK      ;UPKP;MB             ;
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;CASAN       ;CASN;;
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;COPASA      ;CSMG;NM             ;CSMG3
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;IGUA SA  ;IGSN;MA;
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;SABESP      ;SBSP;NM             ;SBSP3
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;SANEPAR     ;SAPR;N2             ;SAPR4
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;SANESALTO   ;SNST;;
Utilidade Publica;Gas;Gas;CEG         ;CEGR;;
Utilidade Publica;Gas;Gas;COMGAS      ;CGAS;;
Financeiro;Intermediarios Financeiros;Bancos;ABC BRASIL  ;ABCB;N2             ;ABCB4
Financeiro;Intermediarios Financeiros;Bancos;ALFA HOLDING;RPAD;;
Financeiro;Intermediarios Financeiros;Bancos;ALFA INVEST ;BRIV;;BRIV4
Financeiro;Intermediarios Financeiros;Bancos;AMAZONIA    ;BAZA;;BAZA3
Financeiro;Intermediarios Financeiros;Bancos;BANCO BMG;BMGB;N1             ;BMGB4
Financeiro;Intermediarios Financeiros;Bancos;BANCO INTER;BIDI;N2             ;BIDI3
Financeiro;Intermediarios Financeiros;Bancos;BANCO PAN;BPAN;N1             ;BPAN4
Financeiro;Intermediarios Financeiros;Bancos;BANESE      ;BGIP;;BGIP4
Financeiro;Intermediarios Financeiros;Bancos;BANESTES    ;BEES;;BEES4
Financeiro;Intermediarios Financeiros;Bancos;BANPARA     ;BPAR;;
Financeiro;Intermediarios Financeiros;Bancos;BANRISUL    ;BRSR;N1             ;BRSR3
Financeiro;Intermediarios Financeiros;Bancos;BRADESCO    ;BBDC;N1             ;BBDC4
Financeiro;Intermediarios Financeiros;Bancos;BRASIL      ;BBAS;NM             ;BBAS3
Financeiro;Intermediarios Financeiros;Bancos;BRB BANCO   ;BSLI;;BSLI4
Financeiro;Intermediarios Financeiros;Bancos;BTGP BANCO;BPAC;;BPAC3
Financeiro;Intermediarios Financeiros;Bancos;INDUSVAL    ;IDVL;N2             ;IDVL4
Financeiro;Intermediarios Financeiros;Bancos;ITAUSA      ;ITSA;N1             ;ITSA4
Financeiro;Intermediarios Financeiros;Bancos;ITAUUNIBANCO;ITUB;N1             ;ITUB4
Financeiro;Intermediarios Financeiros;Bancos;MERC BRASIL ;BMEB;;BMEB4
Financeiro;Intermediarios Financeiros;Bancos;MERC INVEST ;BMIN;;
Financeiro;Intermediarios Financeiros;Bancos;NORD BRASIL ;BNBR;;BNBR3
Financeiro;Intermediarios Financeiros;Bancos;PARANA      ;PRBC;;
Financeiro;Intermediarios Financeiros;Bancos;PINE        ;PINE;N2             ;
Financeiro;Intermediarios Financeiros;Bancos;SANTANDER BR;SANB;;SANB4
Financeiro;Intermediarios Financeiros;Soc Credito e Financiamento;ALFA FINANC ;CRIV;;
Financeiro;Intermediarios Financeiros;Soc Credito e Financiamento;FINANSINOS  ;FNCN;;
Financeiro;Intermediarios Financeiros;Soc Credito e Financiamento;MERC FINANC ;MERC;;MERC4
Financeiro;Intermediarios Financeiros;Soc Arrendamento Mercantil;BRADESCO LSG;BDLS;;
Financeiro;Intermediarios Financeiros;Soc Arrendamento Mercantil;BV LEASING  ;BVLS;;
Financeiro;Intermediarios Financeiros;Soc Arrendamento Mercantil;DIBENS LSG  ;DBEN;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRAZIL REALT;BZRS;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRAZILIAN SC;BSCS;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRC SECURIT ;BRCS;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRPR 56 SEC;WTVR;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;CIBRASEC;CBSC;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;ECO SEC AGRO;ECOA;MB             ;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;GAIA AGRO   ;GAFL;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;GAIA SECURIT;GAIA;MB             ;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;OCTANTE SEC;OCTS;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;PDG SECURIT ;PDGS;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;POLO CAP SEC;PLSC;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;RBCAPITALRES;RBRA;MB             ;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;RBCAPITALSEC;RBCS;MB             ;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;TRUESEC;APCS;;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;VERTCIASEC;VERT;;NA
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;WTORRE PIC  ;WTPI;;
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;BNDESPAR    ;BNDP;MB             ;
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;BRAZILIAN FR;BFRE;;
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;GP INVEST   ;GPIV;DR3;
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;IDEIASNET   ;IDNT;;IDNT3
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;PPLA;PPLA;DR3;
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;B3 ;B3SA;NM             ;B3SA3
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;CIELO       ;CIEL;NM             ;CIEL3
Financeiro;Previdencia e Seguros;Seguradoras;ALFA CONSORC;BRGE;;
Financeiro;Previdencia e Seguros;Seguradoras;BBSEGURIDADE;BBSE;NM             ;BBSE3
Financeiro;Previdencia e Seguros;Seguradoras;IRBBRASIL RE;IRBR;NM             ;IRBR3
Financeiro;Previdencia e Seguros;Seguradoras;PORTO SEGURO;PSSA;NM             ;PSSA3
Financeiro;Previdencia e Seguros;Seguradoras;SEG AL BAHIA;CSAB;;
Financeiro;Previdencia e Seguros;Seguradoras;SUL AMERICA ;SULA;N2             ;SULA4
Financeiro;Previdencia e Seguros;Corretoras de Seguros;ALPER S.A.;APER;NM             ;APER3
Financeiro;Previdencia e Seguros;Corretoras de Seguros;WIZ S.A.;WIZS;NM             ;WISZ3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;ALIANSCSONa;ALSO;NM             ;ALSO3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;BR MALLS PAR;BRML;NM             ;BRML3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;BR PROPERT  ;BRPR;NM             ;BRPR3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;COR RIBEIRO ;CORR;;CORR4
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;CYRE COM-CCP;CCPR;NM             ;CCPR3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;GENERALSHOPP;GSHP;NM             ;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;HABITASUL   ;HBTS;;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;IGB S/A     ;IGBR;;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;IGUATEMI    ;IGTA;NM             ;IGTA3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;JEREISSATI  ;JPSA;;JPSA3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;LOG COM PROP;LOGG;NM             ;LOGG3
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;MENEZES CORT;MNZC;MB             ;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;MULTIPLAN   ;MULT;N2             ;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;SAO CARLOS  ;SCAR;NM             ;
Financeiro;Exploracao de Imoveis;Intermediacao Imobili ria;BR BROKERS  ;BBRK;NM             ;
Financeiro;Exploracao de Imoveis;Intermediacao Imobili ria;LOPES BRASIL;LPSB;NM             ;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;MONT ARANHA ;MOAR;;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;PAR AL BAHIA;PEAB;;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;SPRINGER    ;SPRI;;
Financeiro;Outros Titulos;Outros Titulos;CEPAC - CTBA;CTBA;MB             ;
Financeiro;Outros Titulos;Outros Titulos;CEPAC - MCRJ;MCRJ;MB             ;
Financeiro;Outros Titulos;Outros Titulos;CEPAC - PMSP;PMSP;MB             ;
Outros;Outros;Outros;524 PARTICIP;QVQP;MB             ;
Outros;Outros;Outros;ALEF S/A    ;ALEF;MB             ;
Outros;Outros;Outros;ATOMPAR;ATOM;;
Outros;Outros;Outros;BETAPART    ;BETP;MB             ;
Outros;Outros;Outros;CABINDA PART;CABI;MB             ;
Outros;Outros;Outros;CACONDE PART;CACO;MB             ;
Outros;Outros;Outros;CAPITALPART ;CPTP;MB             ;
Outros;Outros;Outros;CCX CARVAO;CCXC;NM             ;
Outros;Outros;Outros;CEMEPE      ;MAPT;;
Outros;Outros;Outros;CIMS        ;CMSA;;
Outros;Outros;Outros;ELETRON     ;ETRO;MB             ;
Outros;Outros;Outros;GAMA PART   ;OPGM;MB             ;
Outros;Outros;Outros;INVEST BEMGE;FIGE;;
Outros;Outros;Outros;J B DUARTE  ;JBDU;;
Outros;Outros;Outros;LONGDIS     ;SPRT;MB             ;
Outros;Outros;Outros;MGI PARTICIP;MGIP;;
Outros;Outros;Outros;OPPORT ENERG;OPHE;MB             ;
Outros;Outros;Outros;POLPAR      ;PPAR;;
Outros;Outros;Outros;PROMPT PART ;PRPT;MB             ;
Outros;Outros;Outros;SELECTPART  ;SLCT;MB             ;
Outros;Outros;Outros;SUDESTE S/A ;OPSE;MB             ;
Outros;Outros;Outros;SUL 116 PART;OPTS;MB             ;
